author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
real_estate_agent,7,8,2,60.0,Проспект Вернадского,True,355000
representative_developer,10,21,2,49.8,Давыдково,True,444700
real_estate_agent,4,5,2,57.5,Полежаевская,True,408696
real_estate_agent,1,6,2,76.4,Заельцовская,True,310209
real_estate_agent,7,20,2,74.32,Тульская,True,385578
real_estate_agent,10,21,2,76.3,Народное Ополчение,True,386632
representative_developer,7,19,1,43.2,not available,False,131500
representative_developer,2,9,2,48.2,not available,False,152015
real_estate_agent,7,9,2,54.0,Горки,True,139815
real_estate_agent,5,8,1,30.0,not available,False,256667
developer,5,17,2,50.8,not available,False,156000
developer,7,13,1,49.83,not available,False,166000
real_estate_agent,6,6,1,29.0,not available,False,293103
developer,12,17,2,52.27,not available,False,166400
developer,2,25,1,35.85,Горки,True,257000
developer,2,14,2,48.6,Проспект Победы,True,190370
real_estate_agent,1,8,1,35.0,not available,False,271429
developer,15,17,2,61.49,not available,False,160160
real_estate_agent,16,22,1,35.4,Ладожская,True,281073
real_estate_agent,17,24,1,58.0,not available,False,172414
representative_developer,5,16,2,71.22,not available,False,139989
representative_developer,2,10,1,35.79,not available,False,315000
real_estate_agent,8,19,2,48.75,not available,False,235692
representative_developer,5,16,2,65.3,not available,False,175957
representative_developer,2,20,1,36.05,not available,False,360000
developer,4,7,1,48.8,Кремлёвская,True,315988
developer,3,5,1,42.97,Кремлёвская,True,355000
developer,18,25,2,89.1,Заельцовская,True,174923
developer,2,8,2,61.61,Козья слобода,True,266661
representative_developer,4,25,2,62.03,not available,False,300000
real_estate_agent,17,26,1,50.0,not available,False,380000
representative_developer,2,20,2,53.92,not available,False,360000
representative_developer,2,10,2,69.56,not available,False,315000
real_estate_agent,12,24,2,66.7,Козья слобода,True,359670
realtor,6,7,1,55.7,Площадь Тукая,True,430000
real_estate_agent,2,5,1,31.0,not available,False,170935
real_estate_agent,1,6,2,58.8,not available,False,132653
real_estate_agent,15,27,2,41.4,Гагаринская,True,207971
realtor,8,9,2,44.0,Савёловская,True,352273
real_estate_agent,11,14,2,56.0,Семёновская,True,348214
real_estate_agent,5,9,2,88.67,not available,False,250000
homeowner,3,4,1,28.1,not available,False,135231
real_estate_agent,3,9,1,29.5,Кремлёвская,True,132169
real_estate_agent,4,5,1,31.6,Северный Вокзал,True,148418
real_estate_agent,9,9,1,34.4,Дубравная,True,136628
real_estate_agent,1,5,1,30.5,Яшьлек,True,163934
real_estate_agent,8,9,1,29.5,not available,False,172881
representative_developer,2,24,1,36.96,not available,False,151417
real_estate_agent,4,5,2,42.9,Яшьлек,True,132844
developer,5,25,1,33.4,not available,False,169900
representative_developer,4,16,2,36.0,not available,False,158333
developer,10,25,1,37.54,not available,False,152904
developer,15,21,1,35.8,not available,False,161000
unknown,5,13,1,34.1,Проспект Ветеранов,True,175953
real_estate_agent,5,5,1,32.1,Суконная слобода,True,196231
real_estate_agent,1,10,1,36.1,Дубравная,True,177008
real_estate_agent,9,10,1,42.0,Авиастроительная,True,157143
real_estate_agent,7,19,1,32.0,Дубравная,True,207812
real_estate_agent,4,5,2,43.2,Суконная слобода,True,157176
real_estate_agent,10,10,1,36.5,Горки,True,189041
real_estate_agent,6,18,1,38.7,Авиастроительная,True,180620
real_estate_agent,6,8,2,38.0,Авиастроительная,True,188132
real_estate_agent,5,16,1,47.5,Горки,True,150316
real_estate_agent,6,9,2,51.8,Горки,True,142664
real_estate_agent,5,9,2,53.8,Проспект Победы,True,137361
real_estate_agent,15,19,1,30.5,Горки,True,248852
real_estate_agent,5,9,1,34.7,Яшьлек,True,221614
real_estate_agent,5,6,1,38.6,Дубравная,True,204663
real_estate_agent,10,12,2,44.0,not available,False,181818
real_estate_agent,2,5,1,54.6,Проспект Победы,True,148352
real_estate_agent,8,20,1,36.1,Суконная слобода,True,226870
real_estate_agent,4,9,2,54.2,Проспект Победы,True,152214
real_estate_agent,3,10,1,36.7,Авиастроительная,True,231608
real_estate_agent,4,5,1,34.0,Яшьлек,True,252941
real_estate_agent,4,5,2,47.1,Площадь Тукая,True,182569
real_estate_agent,14,19,1,39.41,Горки,True,220731
homeowner,2,24,1,40.0,Ладожская,True,223750
real_estate_agent,6,19,2,62.2,Ленинский проспект,True,152733
