author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
developer,3,22,2,69.09,not available,False,210300
real_estate_agent,4,4,2,40.0,not available,False,287500
real_estate_agent,9,14,1,38.5,Зеленоград — Крюково,True,187013
real_estate_agent,5,6,1,40.0,not available,False,300000
developer,12,30,2,56.31,Кунцевская,True,380463
developer,2,17,1,35.8,Горки,True,245000
real_estate_agent,18,22,1,43.0,Стрешнево,True,446512
unknown,2,6,2,70.0,Варшавская,True,455714
real_estate_agent,18,22,1,43.0,Стрешнево,True,453488
real_estate_agent,44,44,2,86.3,Шелепиха,True,440324
real_estate_agent,9,9,2,55.0,not available,False,99982
developer,5,9,2,83.43,Суконная слобода,True,348100
real_estate_agent,19,44,2,64.9,Трикотажная,True,337442
developer,1,4,2,146.56,not available,False,313239
unknown,22,32,1,37.35,Нижегородская,True,476037
real_estate_agent,3,8,2,55.5,Университет,True,432432
representative_developer,11,24,2,73.2,not available,False,107000
real_estate_agent,27,28,2,57.8,Раменки,True,578720
real_estate_agent,15,22,1,30.6,Стрешнево,True,444444
real_estate_agent,5,10,1,48.5,Спартак,True,484536
unknown,1,5,2,44.6,not available,False,91928
developer,2,16,1,26.7,not available,False,136712
real_estate_agent,1,10,1,31.0,Ломоносовский проспект,True,467742
real_estate_agent,13,17,2,67.7,Автозаводская,True,409158
developer,2,5,2,61.01,Кремлёвская,True,328700
developer,2,8,2,71.47,not available,False,99342
real_estate_agent,15,20,2,79.4,Нагатинская,True,376196
real_estate_agent,3,5,2,71.3,not available,False,560309
real_estate_agent,24,79,1,72.0,Москва-Сити,True,972222
real_estate_agent,5,24,1,39.1,Славянский бульвар,True,506394
developer,3,25,2,64.3,Кунцевская,True,780000
homeowner,6,9,2,47.0,Приморская,True,282979
homeowner,9,10,1,44.0,not available,False,193182
real_estate_agent,12,19,2,84.0,Шелепиха,True,702381
real_estate_agent,9,10,2,90.0,Смоленская,True,888778
developer,24,42,2,43.0,Нагорная,True,502465
realtor,4,23,1,41.8,Ботанический сад,True,498804
developer,10,22,1,37.8,not available,False,267937
real_estate_agent,18,79,2,71.8,Москва-Сити,True,668524
homeowner,5,18,2,39.9,Речной вокзал,True,563910
real_estate_agent,6,17,1,43.4,Технопарк,True,440092
real_estate_agent,11,20,1,44.0,Беломорская,True,511136
developer,7,30,2,59.88,not available,False,167612
real_estate_agent,6,13,2,120.2,Смоленская,True,750000
real_estate_agent,4,8,2,46.8,Ломоносовский проспект,True,521154
real_estate_agent,12,22,2,52.0,Стрешнево,True,382692
real_estate_agent,4,8,2,64.0,Маяковская,True,623438
real_estate_agent,12,14,1,31.0,not available,False,351613
real_estate_agent,9,20,1,39.74,Тульская,True,422800
real_estate_agent,4,23,2,90.6,ЦСКА,True,496689
real_estate_agent,6,6,2,62.8,Парк Культуры,True,987261
real_estate_agent,19,41,2,71.0,Шелепиха,True,654930
developer,3,21,2,59.6,Павелецкая,True,389385
real_estate_agent,27,39,2,63.88,Аминьевская,True,516437
real_estate_agent,4,10,2,88.0,Динамо,True,840909
developer,4,5,1,40.17,Кремлёвская,True,360000
real_estate_agent,11,13,2,81.9,Раменки,True,531136
real_estate_agent,8,11,2,73.4,Белорусская,True,953678
developer,4,11,2,85.3,Павелецкая,True,911788
real_estate_agent,16,46,2,59.1,Калужская,True,397631
real_estate_agent,7,9,2,73.9,not available,False,124493
developer,2,8,1,42.78,not available,False,116000
realtor,5,10,2,56.0,not available,False,271429
representative_developer,2,4,2,77.0,not available,False,248312
real_estate_agent,4,22,2,66.0,Молодёжная,True,522727
developer,7,15,2,53.7,Тульская,True,938700
real_estate_agent,14,41,2,48.0,Кутузовская,True,656250
developer,3,36,2,68.6,Белорусская,True,701720
real_estate_agent,2,10,1,46.7,Удельная,True,310000
developer,3,30,1,40.27,not available,False,184718
real_estate_agent,7,9,2,78.0,not available,False,253846
real_estate_agent,1,25,1,30.4,Комендантский проспект,True,256579
